School,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023,2/14/2023,2/15/2023,2/16/2023,2/17/2023,2/18/2023,2/19/2023,2/20/2023,2/21/2023,2/22/2023,2/23/2023,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023,3/25/2023,3/26/2023,3/27/2023,3/28/2023,3/29/2023,3/30/2023,3/31/2023,4/1/2023,4/2/2023,4/3/2023,4/4/2023,4/5/2023,4/6/2023,4/7/2023,4/8/2023,4/9/2023,4/10/2023,4/11/2023,4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023
University of Missouri,261487,1026549,576440,2238975,1213003,671230,2208470,886949,1766638,2247497,1822526,790827,749871,1445207,343413,436443,1072076,2871402,2715119,1872045,2069483,375077,1141014,2103716,3053132,1605069,1093389,3921193,581161,828698,1086028,2494219,1967113,858236,1000968,343588,790438,1929407,937463,1393384,718515,6590555,1445318,892264,2516173,1090058,646452,1170141,1915878,454099,790505,2326467,1036041,945109,993795,2101011,587465,803986,1015455,2754105,1546516,1187377,2703575,862897,2500580,1073100,1365176,1295037,5642458,4181550,2050418,1290115,1284702,1898404,8914843,2633823,4813157,1076194,986577,687829,1028617,874493,884719,391098,433436,512254,845254,1234296,931998,6518345,1182880,347862,531704,528115,1159586,1275722,772610,502270,172693,363523,527761,1337032,833861,772516,460977,121340,673483,828434,828636,1146605,1032494,160226,336315,1854046,1287662,2285476,1201735,1263513,519952,446196,1573483,1242140,1609640,945661,712289,664559,226261,762018,602246,826501,617376,1265182
Texas A&M,830445,1751987,531942,1425051,773474,1061973,1302128,596996,936457,1077219,2089486,1778016,1196324,1441505,570365,1075158,1571671,4094310,2071686,1215477,1746076,511920,1490275,1215606,2959689,2123527,1557845,1954354,880600,1488935,2277675,1706261,1036579,1110641,1960307,855707,1261240,2846668,1562556,1348310,1587621,2346722,788794,1107087,1572937,2632476,2334174,1930246,2083447,673996,1825277,4471111,2562112,2310873,9880453,3457270,1140425,1662799,1866157,1716734,2092444,2091986,5931113,1170826,2169539,1677114,2548212,1185268,3992063,5086167,4637544,1108422,1572189,2530436,3397238,2800915,1121410,934995,952579,5976783,2130806,2928502,2748179,1516052,782892,1090436,1886634,944562,1490291,2336671,1614091,633274,1135064,942962,1457766,1788780,1877644,558712,784549,1558600,1559707,1216368,1886586,2045917,987409,1061219,1719369,1229992,1520190,1599972,1446749,977354,515539,1869568,1433108,1594693,2138865,1959533,803450,3987004,2028866,1590544,1346493,1445800,1251658,639963,416926,2022053,1593747,1808561,1964675,2281505
Penn State University,1859767,2719247,1398166,2267816,1098760,1200479,849382,2619403,1101312,1910859,3177812,2450007,2093800,877155,904653,1292778,2205415,1575123,1597951,1974719,2332951,1068830,2549072,2446182,1862110,1493553,1983902,982409,2254308,1861742,1810018,2402560,1839905,1780933,1063163,2648241,1570885,1598013,3147667,1629755,1425131,1198811,663969,1485837,3547558,2286663,2192696,2244176,3254864,2490084,1583592,1973874,2606614,3426928,2223668,1017297,2547984,1563914,2129673,3701111,2616351,2729052,2740737,5394057,2124375,1807851,1686996,5637130,4994254,6918951,7365813,2931711,2681855,2003916,6229976,6936766,6532359,1673940,1616256,1904414,3048799,2665804,1942319,762172,866998,1370918,2101041,3932199,3233236,2706603,1153005,974231,1451268,2016405,2158499,1851239,1736626,869690,505948,1396225,2520017,2214604,2516661,2068302,1435457,942946,2512283,1879484,1771361,2314919,2055820,983563,622744,1757754,1654617,1797579,1705624,1336019,873598,539669,1747652,1514053,1358529,1528571,1582187,1274716,611594,1546247,1331341,1614360,1421471,1610963
Kent State University,91152,171737,329679,321052,128688,208102,313471,133027,237726,735815,254292,211771,764471,360250,93624,212509,412743,578222,325306,899898,229051,97720,518697,651888,918136,968410,743928,343105,83267,349664,465987,385869,218702,475858,176963,554317,294734,494900,287538,511586,819868,249205,87863,160450,231250,171981,309393,773958,379396,141507,344687,586965,357474,295489,221167,467606,261908,298330,548692,369782,589940,1014243,297835,170789,486239,347199,672133,760685,1044186,2143843,1238771,517279,419503,689069,1123769,1550813,655154,109096,162442,227141,172846,277983,345144,140994,64153,184057,288443,122568,188924,142751,108347,82035,162120,136191,263928,282125,337007,537207,1066124,688995,1003519,215022,202506,502655,704330,143532,315675,280471,351478,398643,614692,230244,228713,188181,302613,413360,246748,296549,428794,323259,199579,521341,326207,6413251,1662431,318042,127077,433351,290493,397874,445598,527148
Princeton University,577303,737580,1315794,1871215,1651120,2026579,1488397,845341,1605928,1531694,1731307,1966462,1776003,1330285,803157,2951039,2373334,2219265,1845024,2226786,1619218,709190,1035517,1881489,1643811,1150134,1558565,1637721,1759385,3080459,2941108,3391515,2174588,2406819,2170737,1319494,2150152,1478418,1431698,1942451,1611066,1710924,1454887,4121668,1771816,2601251,1685440,2337922,2132716,1049620,1619032,2151270,2067816,2172751,2136682,1870738,1358005,2374117,1842823,1486732,1333716,2157815,2341219,1414473,2092268,2915429,1873209,1980557,2803645,3209890,5105454,2199083,4343183,3372187,17740161,4178140,19464207,4885691,3168257,3075247,3449603,3608539,10312380,2239905,1314062,2204896,1992638,1769566,2257503,2081908,1593722,956715,1711678,1989244,2163565,3543368,2370936,3730648,1312959,1981540,1747598,1891008,1833443,3238963,1412516,1537144,1986093,2220741,1923848,2197267,2313554,2191867,1389370,1715698,2185053,3212580,2365408,2772219,2057662,1545258,1749141,2110351,2090754,1853421,1734515,922921,1906096,2306848,2985159,1641408,2453699,1635182
UC Santa Barbara,50376,158790,217691,171034,424157,175138,405127,173307,176413,231651,363066,361883,280653,222030,265197,410698,165312,227891,265698,253137,212832,142195,227422,233898,433853,394603,301503,208643,261934,272223,414752,380113,497741,316040,234097,305821,471486,316367,298538,317632,413902,289486,97392,182556,187448,358590,390997,179318,137290,220493,572682,298822,290030,316943,404591,238875,310022,362471,273175,1371842,462150,270101,294038,224531,442160,240023,229966,580253,401062,1074530,1345697,635758,345876,839798,1734048,1342025,279131,123989,224521,395722,514165,361814,136320,282059,256923,209888,255277,201972,354833,348669,231829,156647,261127,225133,273048,377940,291918,174773,97252,157798,351303,286800,560726,367473,199087,363200,152894,392934,366935,235599,351594,295926,348434,252743,381750,269470,298911,314008,326442,345275,299990,359804,389206,292767,298258,148254,266906,391530,254604,316195,310512,433849
Iona University,314303,150377,179404,127842,92397,324549,281199,211877,121411,135250,47155,87576,305582,177753,316005,28381,46403,97347,196891,684094,215849,9875,26207,46517,65557,225871,401076,145655,465666,39408,94536,38793,176753,260578,139993,204771,68927,105531,79145,137333,190791,138000,222822,77761,29291,152131,196643,465130,223003,385315,119811,124407,80069,165095,235047,175688,531660,242681,66459,200367,373724,129515,337853,57303,404576,71117,1257759,245911,914126,2127848,1139655,283237,331477,364766,976743,1921313,96988,85829,334847,1611923,394597,232819,285785,310291,119844,72298,210391,53531,141853,180743,108993,30203,87260,93338,268123,200635,148248,65148,51295,84793,177738,71019,162532,231266,170250,188132,70069,94834,59172,22076,125688,119573,82667,154108,151346,193083,69820,94825,23810,210502,97147,124550,67757,96371,121781,207607,52916,58558,81213,130521,96504,213862
Purdue University,562095,3662896,1372249,944769,3935194,1518515,707319,3065656,2367690,1870466,1965297,1454112,3265208,1176228,946856,4650900,2262186,2454265,3205259,1827868,981591,3192560,2552879,1707716,1998086,3226649,2900301,1031069,4999353,3279039,2120788,6346562,2536628,2091699,4632685,1596329,2594806,1863596,1077790,3449327,1586624,915395,2193493,1904596,1248462,1594176,3244790,1684399,1104473,3346131,1773507,1218509,1723659,1524644,2284128,4056969,2632032,1673640,1171448,1542029,3661501,2531774,1074023,4284797,1502869,3714888,2024384,1455248,4767077,5298920,11390439,3928240,3020927,2434966,2267509,11720716,2418224,1627261,1150095,1634048,1110314,16098827,4134009,2903688,576061,1180255,1558634,1379685,2203155,2899627,2606414,1474174,1487820,3335726,1767651,991184,2165252,1085622,397727,1157518,1070428,1271077,816129,1401874,453227,321070,849413,1777604,1369832,973355,1215106,676006,414538,1094695,2301130,3209726,1183024,741034,827566,499837,1260735,821277,1105078,1182503,774627,270359,441958,1635924,999570,2954151,1158160,1592573
University of North Carolina at Asheville,42393,109590,52097,175230,106640,94185,161946,37573,71607,90951,156105,384296,190044,401422,61503,22231,88129,278227,89643,105178,206133,453,125040,76900,579795,329748,124794,250498,58652,154501,129270,156680,403649,130907,161646,20090,59222,86238,324220,122617,151046,219252,29010,81158,161083,184925,382150,207326,419725,101343,229948,137893,472752,180159,148669,262023,121078,217108,450325,177267,166149,477644,666292,2016493,523168,235580,192605,259464,227706,168148,624798,218049,334338,598685,1933031,401918,149153,122592,126902,173690,144174,77113,158065,75576,23407,148370,167399,223476,96459,133949,62948,81369,57368,167908,120878,127632,61189,67217,10979,79796,148860,212660,96616,193783,90765,73468,66164,104958,226460,155311,90248,91028,25402,99390,186951,74197,113588,36662,135608,26023,93161,98523,72840,137216,90473,99090,66575,106907,78883,202070,141441,156116
Southeast Missouri State,56131,41557,13293,84632,271083,56721,195789,10744,90249,24106,60046,141733,70733,231556,21819,79075,101931,60092,221948,51325,214681,71960,64439,77470,69551,188488,98730,147538,35218,51186,32477,126916,149853,135878,155299,52362,318723,176437,87136,195190,134808,153357,1020,30550,13262,87273,172128,132080,193481,49835,130225,72874,76626,261196,127270,263110,47056,70558,120559,381140,456436,604218,1692741,810966,303466,141064,236913,99833,170357,112654,367709,355906,1808929,232077,74271,71713,38248,36119,109980,118666,242326,192066,100163,53728,61579,102282,42368,85122,44608,45583,47408,39961,36790,245138,77502,104645,56963,21950,13785,57463,31255,35246,100493,115674,13237,26770,131638,88795,52985,63019,38781,45263,114573,104419,127331,57924,67926,26088,83634,59113,194086,62761,58412,97924,90725,76662,67921,106574,160969,43221,43535,87772
Kennesaw State University,143167,303970,96319,101946,350196,104499,221222,55752,119017,127339,132704,464558,350991,236866,15399,202382,109283,163803,1063021,232167,429960,234509,265101,231318,202824,437623,421749,445623,193350,90925,158851,1083927,502296,227247,241741,45109,167864,226004,246754,463230,265746,705176,195384,272348,439813,536878,1013120,810600,490789,263570,141228,191823,317814,234813,932694,505043,364393,966077,868502,598848,920954,541759,501180,3932946,1824536,1109466,544669,433680,491293,390906,1502619,530364,552819,706063,1483748,6445997,749195,278154,106382,247946,157458,208438,430718,292210,355134,276752,325357,691195,368228,128951,165305,98663,96852,284776,89460,472064,2157326,494749,252501,353141,446736,841937,422266,551792,343367,183174,211385,163613,202024,247174,242984,73252,37919,190230,194792,340804,156869,293846,535816,323816,203295,325853,153741,117372,190554,121269,94930,119133,254764,215886,211464,271244
Drake University,219851,55756,296778,292530,118377,168372,290163,51397,83678,305517,134362,125565,24846,443317,184449,123021,113546,500712,272400,86221,347026,33371,148868,1005466,425830,17338,93997,77661,448212,139913,203379,895286,715146,427667,438378,94585,52380,689360,470467,294250,185395,579237,72730,164603,365625,348986,278731,53673,142451,657806,238205,128989,1040475,567410,187270,130437,596719,150580,154600,416320,706115,951692,1049085,2663900,749712,332542,321864,239175,364452,218774,1070847,456544,493301,719526,566918,1733387,270225,96677,48989,94290,86689,79161,129061,93261,34004,96963,165882,321798,159439,56256,74747,41415,47690,221239,138381,135560,92013,91580,150696,187831,133627,108951,685983,384497,151464,22729,120990,164289,213136,234822,289017,172849,240686,531669,909714,484628,264781,131434,251190,119772,183330,87106,127756,395984,188171,78125,38158,29477,32651,132992,73719,189744
University of Louisiana at Lafayette,101837,72871,138796,141052,349645,134388,290854,143444,142864,148009,122610,259907,228774,291196,86700,290261,67806,153590,344200,253150,270551,97489,301718,294435,150453,562049,224419,653154,174231,67790,221415,442563,680154,277854,1294709,251948,179555,504712,257300,519705,425940,609342,230946,206387,282555,220606,690081,475984,540904,418576,122437,344546,428426,193800,635755,726087,379500,443826,87057,180438,74953,441130,1035002,1020219,2658470,1234050,629316,435690,375994,439015,909071,384719,372838,509589,1954656,411186,488240,192036,77214,139411,152086,130192,216669,575035,57870,101407,46488,126165,542135,356174,254385,218406,168762,300085,168214,293790,43721,127402,170080,120888,218583,170026,117961,99254,90442,163605,114264,233803,183803,91475,129731,91279,75716,54611,175533,122214,197086,135720,113006,20214,428063,101840,959399,648926,241196,113805,91680,144228,344865,84392,100334,158805
Furman University,84706,169065,60110,325216,150860,91112,270057,37735,259895,121409,315268,120784,182060,463591,11312,151304,269346,380190,232485,171620,117790,216068,118666,122944,413152,293949,355529,102900,323465,138489,114427,474554,286343,202202,356514,159699,238450,62392,330399,244341,189076,517462,93819,262332,174099,228174,102768,167746,144945,312783,172787,147947,326745,149318,169174,737228,190514,193825,151164,402652,199128,159685,514046,668177,3460930,1487860,393166,352843,250169,393678,600801,570375,551821,712561,13938795,1514744,2524071,245804,215820,321903,228201,376845,226993,208092,219351,502715,408727,249084,238912,454758,106237,86268,177844,365010,330163,271601,319905,192858,64231,151567,181834,280547,158088,205474,318431,100589,376386,491976,279357,329040,404193,148696,84914,254591,430106,381161,172565,144739,233810,163177,141960,220457,275204,354736,316750,172875,78170,434151,508371,299874,250223,203649
Northern Kentucky University,121216,43016,68282,35648,116954,384069,163397,556367,111189,88947,45636,370506,144204,410555,86014,65950,141878,252171,1357971,465894,312264,127447,169009,178834,148003,438394,242573,330168,21039,125212,83258,137993,280804,158189,222066,34821,120786,132053,91087,173754,396085,199763,569066,29187,194232,116258,85161,264465,139130,298535,129185,162680,54114,472731,289719,455086,772330,484256,287853,178151,896278,321259,97833,301573,1134947,3034072,1180784,316398,291128,209069,1162359,501606,334543,755477,3559326,620175,50509,85851,55023,177124,82429,136999,117746,80796,122131,86634,172212,169691,76671,532826,163623,233835,89722,180961,106714,236629,227912,117511,58806,465965,258829,203305,66382,512290,529146,206058,131888,879002,114419,441275,361739,269720,188056,145930,179221,122692,113425,177725,127524,229570,163609,150680,128773,88427,233948,345273,421879,120262,272431,237150,298314,374968
College of Charleston,253532,995699,267117,1309643,246897,194849,1024363,220508,562409,196281,1368370,628041,209858,689923,213630,1203657,431919,177868,969701,307699,636747,120513,376842,610744,563374,383100,219276,487741,196097,272914,158754,286030,717325,317399,494014,157386,199064,479676,705369,248568,273100,324439,163789,805093,323821,369421,463775,534540,171949,342646,345875,288105,272922,1083400,611299,1288776,207502,551321,480934,227996,449322,365888,393623,836415,1830254,4664277,1258106,498254,434498,348179,1547723,900257,1203047,1260840,4725414,303892,175222,221712,216148,404808,168452,225225,286577,259333,184818,244728,411302,220801,111139,143345,234920,127248,220921,170382,256732,393345,380112,92363,49333,396214,264991,196080,64329,280464,145146,234964,199098,337377,344055,134545,240724,162150,69531,242596,365723,361832,314366,302936,240125,204688,249846,345171,170311,137087,340917,225018,148183,513631,686374,233191,278467,227547
Oral Roberts University,127682,81570,167294,158881,35745,180069,1195266,380215,391258,243519,163904,427258,179322,269564,108370,200051,135181,155847,488548,186688,296953,99119,213313,222733,334480,422801,260634,536768,157702,593765,276420,234120,136954,141612,394413,127600,396796,245377,192314,514167,364173,346565,63204,323910,165731,305415,686668,351548,479132,184937,351885,163276,239337,369618,195189,626353,196293,226883,234097,309353,646017,307068,577867,466461,1005893,2137147,1166543,328252,409995,274572,665713,591296,508821,497886,1948356,227936,200933,136081,191719,239243,869948,518389,419633,159746,54514,203001,281911,120379,141025,171398,59052,72405,115818,223991,138236,189380,194918,78698,25786,194074,175986,521172,103571,135636,166379,121366,194705,108084,438750,136939,168598,69059,61693,265492,132330,132140,153576,194177,60023,86644,186829,234744,114197,403456,350205,257693,85071,177906,169377,147114,114258,141638
Fairleigh Dickinson University,55907,74374,88280,75830,247923,92041,231328,56182,25569,43243,217650,132881,57871,268296,65416,385593,131501,80868,133554,390714,50897,277382,76317,54236,244847,274436,66062,288252,66429,63148,23202,168453,77611,66339,335156,31442,49984,253374,108839,276040,203507,362402,56559,76507,116651,182301,311357,104739,299627,117202,167755,71112,81459,282401,78638,264251,71330,83150,333749,485290,169699,160775,1139853,517736,557818,911119,258191,178832,165695,148118,533431,370087,299732,3812263,767524,28190519,7353682,8895152,1977425,1790065,428754,653627,258857,216743,99286,188470,197000,212276,155591,268092,158613,98193,199248,360083,138185,77654,126018,69760,42847,151446,16865,86389,200139,207845,150844,158344,50302,250619,193714,168488,437990,85768,64247,129983,31055,295581,401780,71810,82564,46305,105238,210461,220616,9972,131632,110967,71446,92096,98844,139483,82234,126549
Texas A&M Corpus Christi,0,16507,70464,28914,76785,21436,32686,4241,22719,45543,32147,79886,65414,58701,12629,15895,50692,50479,104463,124806,31478,7597,26887,58702,119619,94158,146455,81255,34489,43874,37495,103972,84259,88506,47372,5620,59674,41724,77681,129783,122292,54448,20740,41456,77867,74305,178175,112032,145920,107956,131842,123032,124246,159693,302744,386854,230533,232310,143188,211174,132457,134383,77650,70792,144789,251746,560046,207456,97305,134225,186288,201720,1219901,733298,976205,234686,303343,48511,66059,107134,44244,130997,129535,97773,73005,90755,93096,154351,395343,152006,141756,31433,26544,178274,84175,57244,77434,39066,9624,135946,221948,82721,65788,116114,82665,65321,28771,72014,87523,99165,232897,183603,121468,180432,153987,54204,92442,107847,36967,58446,85022,117284,74543,166104,224429,125491,32197,62763,67329,53073,69965,72774
Gonzaga University,99797,152276,59454,213945,499145,831847,432298,506406,198574,250271,154486,1344197,800019,555721,346192,441136,127963,231992,917430,326253,392602,333784,94631,150172,96601,380950,136132,896378,146857,354965,285801,211374,546667,584454,601042,627009,155849,175317,313369,857019,264381,828843,446596,214385,170434,88814,790155,1126218,1238528,102674,193395,305681,184921,775707,866856,2516641,1718082,602499,366672,1761945,456011,297463,139315,76119,333600,3788676,951824,466155,148207,173140,1308324,1128450,515076,852070,1558439,1976686,716796,3322891,4474776,689148,828348,5985982,12325601,5498850,773326,269266,319448,200460,208034,100383,77827,363541,277574,187538,153987,124971,240461,78034,146445,112848,92689,136541,135553,215408,211972,257580,167501,416640,248940,132402,629093,66206,67224,291696,89384,56513,96368,160363,97970,132247,120044,139403,234145,190464,90542,69990,60328,268094,117311,146062,66952,112624
Montana State University,25222,110194,125349,58511,466377,294174,232634,130326,171688,109091,130033,266635,451154,334136,71332,227376,69754,226486,350024,150365,371098,265079,384761,175658,127890,302083,225103,257252,120659,376232,284729,260748,392407,246140,269746,80990,101616,70340,95250,244725,229105,271249,119721,320953,184699,246627,367151,321702,438371,204341,125826,149962,184343,205905,170061,354232,105196,483177,191295,77033,122256,236294,78297,257898,235211,227624,1048867,1637189,305872,244787,345975,277092,145638,326896,342047,863806,331943,161435,93080,84948,130672,351026,140607,111260,9496,215923,153664,59628,45812,107252,9807,66379,260521,95258,111232,133432,178573,148459,11471,78604,408205,256832,75539,205113,72568,56319,390184,246923,201285,96328,185419,27632,30778,58615,54821,169072,57832,97019,60514,19543,186375,178479,95975,75270,279845,82515,119000,196426,91185,190622,96631,229858
Colgate University,64233,212268,69666,123961,275819,147364,38001,91725,409776,299904,277166,81969,307350,216464,51185,107658,58649,182393,77396,153239,247587,32816,588952,207586,95469,154169,99759,231120,35738,455015,96473,160649,116701,56098,202106,40655,67857,63644,209031,114959,136302,336263,77765,72818,182148,220456,70730,75192,191833,42815,129958,46801,207303,133088,116199,471853,94955,327549,155080,202849,427948,177998,67737,705122,195399,146612,1861904,740047,228778,195272,426424,225737,308385,257065,1649758,135558,172395,63491,110705,96040,109356,44750,84906,41306,31891,112039,179962,112077,78433,135309,112382,56791,102656,89969,34851,186713,78778,375022,89696,87570,115441,117107,55242,121392,115781,139686,100055,199027,216025,133419,141791,119067,157370,95316,92757,159130,116093,174116,61666,88557,276243,344805,148603,73819,117661,57637,66595,208440,187296,106282,252500,165939
