School,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023,2/14/2023,2/15/2023,2/16/2023,2/17/2023,2/18/2023,2/19/2023,2/20/2023,2/21/2023,2/22/2023,2/23/2023,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023,3/25/2023,3/26/2023,3/27/2023,3/28/2023,3/29/2023,3/30/2023,3/31/2023,4/1/2023,4/2/2023,4/3/2023,4/4/2023,4/5/2023,4/6/2023,4/7/2023,4/8/2023,4/9/2023,4/10/2023,4/11/2023,4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023
University of Memphis,896001,466747,119639,218039,472170,659100,972781,365678,543799,655682,1590580,1057957,263188,294381,1583978,412603,526977,873239,1588454,674986,277611,1287258,1482890,696004,586542,1940930,1080185,742614,1176459,572299,583753,505805,231851,616377,1607932,303308,480625,455741,883055,542068,286259,153374,1063947,612364,619131,480875,1599424,664666,412264,1398203,582460,538178,414932,1456413,546033,418303,1244527,403437,410367,858288,1076092,1001837,661746,2642884,870464,937532,748355,578764,1825154,2783006,9673228,2012368,1494115,1353498,1179251,4234184,1692370,585871,520991,274948,298970,246598,1771441,1168241,1114074,643722,507316,411963,399569,249999,217427,212109,457735,630977,406330,510988,698886,300598,342758,716280,263567,495274,371567,1064178,572950,222831,575718,170198,298310,688869,439962,150372,178102,1544938,259194,780765,709421,784217,276120,130272,665010,4718626,595212,402155,541256,429659,287661,1904352,407116,347904,311881,288949
University of Vermont,277168,63695,126937,456155,457133,269652,113640,158625,141401,126949,378510,216267,134293,70353,84268,41837,138792,229484,274434,237178,147131,146359,92812,179842,388152,297089,381970,408003,75655,110989,100659,123259,156058,346583,352080,154123,146207,162181,337939,220572,322790,379150,131145,357259,342632,605283,316919,229904,310824,83353,56078,498592,631664,306139,262476,317441,218169,298560,393928,405662,262881,614257,392237,342369,204537,550184,273998,451360,936813,1869992,602061,680042,351970,498435,596758,1587744,279195,185262,175616,376544,429044,138824,191075,417547,65850,110624,143841,146719,253907,139717,105846,23608,576854,657242,267946,469154,174778,249598,50540,192708,241653,151067,373750,233282,213860,50379,161777,212870,511398,283419,188435,125370,19708,172733,148344,152276,125004,207687,203910,30964,145126,239815,142824,461396,270251,98917,77378,441942,453532,201457,452488,102651
Texas Southern University,106644,282924,171329,193069,134290,50147,155531,76408,185038,129073,108465,152420,459265,286957,306289,449364,341034,116250,344909,159355,196506,134467,237168,414138,114589,228952,247784,318769,170655,254747,223021,491126,123905,164107,196071,75309,338185,254935,113261,222761,357742,218808,84650,276292,446485,200792,414516,520000,778251,556501,434221,465561,289508,436217,561752,202128,107946,232627,418788,440738,287326,248170,275021,75146,176736,178017,559908,569812,696267,2573930,1657043,1114055,1229469,2178219,299599,238454,227766,111545,294006,196341,135126,252553,349787,169154,100360,142134,299658,644759,516719,494938,337081,927519,780832,365235,105109,174550,363480,602314,274395,827974,926663,858782,536492,287228,226911,301477,560033,280662,313361,261613,145737,104693,122620,65796,426227,240135,103708,85279,250573,290769,130776,181018,210377,215492,299128,366088,253546,158661,404956,373853,459336,598704
Howard University,478026,480953,779112,1811440,2901409,1469489,866851,421350,1064836,471384,259075,948483,2012160,731190,2728626,1972332,1806100,897138,705328,1077564,838867,510307,2986175,2298811,1788002,1083520,923951,790985,791473,1232479,1206112,2355411,804692,1086814,870655,682689,988212,1552925,1027999,1228199,1443045,1350671,1162912,1427674,2139211,1633854,2340563,1799163,798235,1193937,1767561,2002617,1359408,1303670,972440,1163907,2786467,4845054,4177250,3241034,2747451,1670362,742853,890676,1090886,1591193,1736064,885702,1607815,7262937,3404877,2542727,2174926,2919632,16369778,5337964,3962422,1764241,1356086,1119443,804945,780883,1574022,843329,902686,1473281,1721456,1393861,1760927,1355066,917567,948198,998149,1039007,14600671,3171003,2952562,1690108,515544,846333,1336083,949868,870964,1918239,2426788,1914865,2155496,1613016,2023205,934892,802474,673756,494475,554401,4784167,5971104,1565267,2253219,770849,567854,1110852,2619527,2381256,1379983,850736,5749398,1994185,1558498,820935,2650769,2182581,3377984
University of Arizona,677786,997822,1146276,891455,1158704,2463146,1576423,470632,1024389,1535270,1038519,1337514,1610880,1407073,719671,897812,1334680,1527927,3771155,2278122,3704842,976890,1639684,1211865,1715218,2002162,2882635,2133089,617139,8103149,6186992,2141906,3184999,2857986,2246877,1086612,2213316,2402445,1141215,1982592,2213884,1432921,578321,1152265,1413318,1372611,2327303,2933264,2494711,1060750,1243940,1402196,1015890,1250984,1525516,6099630,1496086,1880837,985803,946030,1590125,2437431,1748335,1155953,1159216,1320931,1140672,3495236,2349391,5014504,8525773,1355787,2160260,2106171,9887762,2688052,1697963,1291609,1250324,1190425,1057730,1018229,676884,484537,258527,775870,1344319,1408803,1596096,1785941,955733,655421,1165566,1289953,925822,1391862,981158,767452,633112,1161947,1438432,5188664,2838247,1630312,1848973,585901,1400193,1081130,923323,1128698,1241168,862515,531016,1871704,1637522,1691423,1194223,772014,1148754,978841,1572498,1507232,1507465,1129699,1706426,823044,537200,1003704,869388,1780422,1831953,1195064
UCLA,1340933,671231,1008592,1770761,2938795,2231750,864761,1180638,1578616,1304593,1453415,1771813,2101425,2396483,1134503,1476680,1987706,1669203,2156291,2601661,3136267,785481,1610418,1747137,1683846,2784008,1742929,847280,745198,1818140,1856208,1855625,2456950,1990312,2122332,1117702,1630462,1600730,1135037,2044117,1616221,1395902,1116199,2308157,2189610,1807122,2225771,2619450,1393204,1230979,1245195,1653471,2610381,2335042,2571937,1627225,3624388,2973926,2428941,2237388,2961583,3307776,2669195,2675313,2839809,5084967,2853318,4485651,4430201,2546040,3792319,2664338,3944201,2837395,5445524,6251592,7396776,2584158,2174827,3563770,2560282,8821701,6361023,1663772,850718,2326934,2055620,2099330,3524813,3045717,1648248,2074435,1672880,1520769,1578690,2211183,1562785,695355,628372,1186377,1344511,1729740,2058592,2027032,2879146,1028093,1590561,2478389,1984230,1702541,1826657,1388009,840447,2245308,1891117,2595990,2505140,2031052,1016480,503405,1896880,1258716,2045033,2214398,1865110,3017899,1287767,1278556,1620733,2196637,1484979,1671384
University of Tennessee Knoxville,1181768,385971,3500535,1124304,917271,1782258,3228388,826241,1967292,2597043,2064080,1698834,1828242,7039822,1003724,636321,2303759,775179,633502,758184,3830845,543807,1630179,1290350,3433510,2906467,1820380,8130452,1475228,2474797,1369413,3476992,1377118,1360897,4073849,481903,1609454,1068103,2933423,1523762,1235477,6680434,1217277,1878146,1441853,11486860,2942702,1963532,4099723,1036822,1234104,3604756,1199355,940641,1187616,2950982,1233137,1547212,3853970,3791421,1301521,2071112,2985339,1049534,1717252,877935,1410361,3982235,7066003,1223876,2658150,1684364,1303872,1682334,5296367,3192295,19374299,3617833,2441222,2512030,4493002,10360877,2879915,811381,535346,653218,842011,1118856,1203213,1004022,1355108,715678,634845,1239925,995220,3661053,1569365,541938,341864,684868,1068630,748049,1063732,1283739,1311822,755424,1918133,1719272,963650,1355271,1108911,1176680,578175,1162862,607511,615408,1203853,2280069,954628,311544,554364,954101,737821,596039,1607317,787701,487904,508123,687014,747457,1198469,1150852
University of Alabama,780272,1805602,2320706,1171955,1215081,1343563,6461619,1405333,1952449,1330696,5622615,3962190,2181530,5462691,9490546,5691513,6626636,3602226,2026348,2595089,3606949,2722633,5425328,4461901,5510144,4692877,2046159,3715670,1042657,1966574,4372763,2619065,2378824,8335561,4283938,1219821,2261196,2077235,6034214,2080552,2378200,6372075,1921663,4852676,2208968,5711929,2490739,2266569,5345123,2115501,1659128,2308044,11290170,6534966,3916026,10416432,2698335,2329795,2046902,7901485,3810970,2361537,5334652,1925489,5992970,2474177,2842596,1932385,7466767,9387120,21441959,4192695,2731518,4285609,9833616,2454421,7552281,8371308,3595497,3233855,5306857,2966004,13446398,2324418,934603,1492677,2274505,2045317,4896781,2664423,1377938,548328,1789265,1189535,1513394,1735727,1815982,1364791,508755,3931207,2487099,1705090,943307,1062316,1132511,1147743,1620704,2591847,1474401,1550305,2076151,2618290,1596722,2078465,3612406,1762806,3397090,2040252,495954,1055933,3036876,4373617,2092995,4687655,3835837,1456051,1454953,1173830,1601982,1555668,1343290,1720735
University of Kentucky,1646394,2459912,4098290,2096830,1086917,1628278,5528726,977450,1721235,6385566,2227599,1305858,1836694,11467015,1934436,1967642,4952099,4075547,2101346,1828066,4536648,972802,2784013,4916165,2116072,1489009,2290864,6601576,1253450,1719655,4168739,1590069,2736492,1986821,3724670,1295593,2694133,3925232,1882921,1412229,2100452,2874826,655873,1463085,1284707,4208911,2492482,3323605,8248628,1752592,1426729,1772272,5669559,1929591,1936691,6707776,1720491,2701925,1585435,4621607,2167488,2070690,7316251,1511161,2758214,1826573,1302625,2380432,5590587,2006078,3914353,2025890,2369815,2315246,2625547,9225749,3972700,12894305,3548155,1935014,2097977,1137518,1718986,1587647,889558,1431574,3482379,2328916,2023526,1423271,1215201,1026405,1509213,1060708,873159,1259251,2232533,1921771,1378206,2093606,1643568,1572783,1125514,1351367,884659,1248059,1430907,2200154,2324671,1993670,1639104,1194257,1044836,3478829,1709339,1995758,1571507,1763264,2400172,935707,1580468,1112969,1380109,1453526,3578586,1798723,1434441,1842569,1897662,2492042,1218573,1279948
University of Arkansas,240574,1043065,906835,3277870,2161092,1309216,3876218,834929,1574709,1688618,4128436,1674976,1182101,2913313,1279659,1306851,3677234,4500353,3085839,1435162,3504606,1365861,2913909,6291299,2496743,2101917,1671809,3396016,703198,1137092,5189589,2755478,1554995,1147025,3227087,1048212,1415346,5163915,2874435,1584441,1836030,2226593,625673,1077656,1236835,3270637,1635449,2105635,3975099,1087383,1212657,4030678,2271655,1683797,1552383,3415273,1023829,2608381,2700398,1195873,1555713,2304573,5459402,1150234,1967609,2018113,1643335,5398474,5698975,2781362,3058630,1911988,1917588,2191963,9198732,2608639,28101755,6522558,3292275,2366444,2377499,8656137,1778840,865938,1353706,1776708,1427099,1784668,3949260,3855540,1670468,836582,1054622,2195582,2182436,1275940,1617559,950407,1788749,1786285,970093,2184501,1710431,1451312,1592515,973729,1995316,1585720,1366871,1987022,2105705,869106,653547,1574389,1136492,1677279,2067320,1373481,742490,478575,1668091,1531219,1274453,1346299,1314825,436040,691378,1523802,1469389,2095273,1283480,2202613
