"","year","team","game","win","lose","tie","run_scored","run_allowed","batters","tpa","ab","hit","double","triple","hr","bb","ibb","hbp","so","rbi","r","sh","sf","sb","cs","gidp","e"
"25",1986,"Bears",108,56,48,4,369,341,1378,4044,3531,880,114,31,38,336,13,39,394,350,369,104,29,78,69,71,95
"26",1986,"Eagles",108,31,76,1,333,467,1409,4004,3453,815,122,23,46,420,3,30,494,313,333,84,17,79,85,81,102
"27",1986,"Giants",108,50,52,6,373,360,1435,4089,3603,894,140,28,37,342,16,24,357,332,373,100,19,89,51,81,94
"28",1986,"Lions",108,70,37,1,475,369,1527,4119,3617,997,177,22,74,354,13,48,465,442,475,68,31,110,67,76,80
"29",1986,"Tigers",108,67,37,4,474,372,1271,4044,3582,929,136,18,99,321,16,39,406,443,474,76,23,120,78,82,99
"30",1986,"Twins",108,59,41,8,434,361,1384,4138,3644,964,152,29,37,315,15,55,428,398,434,89,35,116,59,65,97
"31",1986,"Unicorns",108,32,74,2,318,506,1491,3926,3449,755,138,10,66,327,10,42,518,322,318,86,22,47,52,86,101
"32",1987,"Bears",108,55,52,1,415,405,1406,4010,3548,927,123,34,30,342,7,24,369,391,415,70,25,72,49,88,97
"33",1987,"Eagles",108,47,57,4,410,454,1353,4054,3547,972,144,22,48,326,11,53,423,370,410,104,23,79,85,84,105
"34",1987,"Giants",108,54,49,5,432,404,1327,4155,3625,970,161,27,40,390,20,34,330,400,432,86,20,99,50,102,77
"35",1987,"Lions",108,64,44,0,583,427,1321,4218,3731,1120,164,29,105,380,15,40,448,548,583,26,40,101,51,88,78
"36",1987,"Tigers",108,55,48,5,393,401,1284,4085,3609,910,151,12,71,335,19,44,379,368,393,68,26,90,44,96,84
"37",1987,"Twins",108,50,51,7,388,407,1384,4019,3566,919,117,38,36,296,14,43,353,359,388,85,28,91,54,80,92
"38",1987,"Unicorns",108,41,65,2,401,524,1496,4026,3499,848,152,14,54,400,7,27,502,372,401,82,17,127,80,79,91
"39",1988,"Bears",108,54,52,2,418,447,1448,4043,3583,923,145,25,44,321,13,28,374,387,418,78,31,87,39,91,81
"40",1988,"Eagles",108,62,45,1,506,441,1423,4103,3616,961,177,21,73,332,7,52,464,465,506,70,32,83,51,78,85
"41",1988,"Giants",108,57,49,2,482,443,1366,4095,3578,967,142,18,68,347,16,40,333,446,482,104,24,127,64,81,92
"42",1988,"Lions",108,56,50,2,516,492,1402,4192,3692,1028,148,21,85,381,13,42,493,486,516,53,24,110,62,74,76
"43",1988,"Tigers",108,68,38,2,503,364,1313,4060,3561,1009,134,14,112,343,11,44,374,466,503,77,33,136,58,95,98
"44",1988,"Twins",108,40,64,4,408,491,1298,4101,3652,951,132,27,42,321,16,34,384,373,408,70,23,118,61,72,105
"45",1988,"Unicorns",108,34,73,1,387,544,1360,3961,3481,908,156,21,58,339,21,23,402,360,387,95,24,82,63,88,93
"46",1989,"Bears",120,54,63,3,447,481,1608,4482,3935,970,165,28,42,389,16,42,559,416,447,82,32,135,73,65,95
"47",1989,"Eagles",120,71,46,3,595,464,1727,4633,4064,1121,208,26,97,412,23,48,544,549,595,64,45,122,60,74,112
"48",1989,"Giants",120,48,67,5,419,522,1650,4612,3939,974,155,23,38,519,19,29,520,383,419,98,27,100,74,89,99
"49",1989,"Lions",120,57,58,5,580,588,1554,4571,4024,1095,174,20,96,397,11,45,616,540,580,56,47,160,76,78,116
"50",1989,"Tigers",120,65,51,4,500,442,1492,4564,3963,1011,142,9,90,470,26,48,508,472,500,57,26,111,74,111,100
"51",1989,"Twins",120,49,67,4,490,581,1569,4550,3912,985,139,36,42,470,14,40,489,458,490,85,42,172,94,89,122
"52",1989,"Unicorns",120,62,54,4,477,440,1700,4469,3817,943,178,25,48,482,25,39,545,428,477,98,33,167,80,74,111
"53",1990,"Bears",126,35,80,11,404,616,1574,4471,3902,901,153,22,62,425,17,38,562,380,404,66,40,83,66,77,102
"54",1990,"Eagles",126,68,50,8,610,481,1655,4625,3971,1074,174,24,112,495,18,47,617,560,610,70,42,138,66,83,111
"55",1990,"Giants",126,44,69,13,453,572,1523,4522,3858,946,163,30,41,464,12,48,501,417,453,119,31,125,64,91,102
"56",1990,"Lions",126,66,52,8,593,558,1453,4551,3961,1040,170,13,131,434,12,52,532,555,593,68,31,108,54,91,97
"57",1990,"Tigers",126,68,49,9,538,458,1396,4595,3952,1066,177,23,87,466,28,53,544,501,538,95,29,101,66,100,110
"58",1990,"Twins",126,71,49,6,578,457,1607,4661,4024,1089,156,40,61,465,24,65,450,528,578,56,50,140,101,82,89
"59",1990,"Unicorns",126,58,60,8,485,524,1632,4494,3898,961,176,25,47,443,16,43,534,444,485,84,24,133,84,93,112
"60",1991,"Bears",126,51,73,2,501,603,1649,4791,4220,1054,169,39,59,418,23,40,648,458,501,91,22,136,78,84,117
"61",1991,"Eagles",126,72,49,5,644,493,1723,4870,4221,1155,181,43,136,485,22,51,704,607,644,84,29,121,63,92,131
"62",1991,"Giants",126,61,59,6,583,527,1750,4821,4128,1072,177,46,73,457,30,61,515,533,583,122,47,97,57,78,92
"63",1991,"Lions",126,70,55,1,639,579,1706,4875,4182,1138,180,25,108,510,28,59,546,593,639,85,37,126,82,106,99
"64",1991,"Raiders",126,52,71,3,554,638,1552,4734,4114,1041,198,30,87,475,12,66,726,505,554,46,33,130,87,93,124
"65",1991,"Tigers",126,79,42,5,618,409,1450,4843,4135,1069,171,29,144,516,12,83,588,594,618,74,35,152,77,102,90
"66",1991,"Twins",126,53,72,1,472,607,1701,4680,4131,1009,158,41,53,400,18,52,475,430,472,67,29,110,99,118,103
"67",1991,"Unicorns",126,55,69,2,426,590,1598,4680,4102,976,208,25,51,423,25,43,598,395,426,85,27,143,73,80,103
"68",1992,"Bears",126,56,66,4,547,582,1673,4833,4225,1096,172,31,110,439,19,37,645,511,547,96,32,96,58,98,116
"69",1992,"Eagles",126,81,43,2,658,520,1662,4865,4197,1120,191,29,146,511,29,58,660,620,658,54,45,104,59,96,132
