"School","Seed","Date","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss"
"Iowa State University",6,2023-03-17,"Mid Afternoon","Round of 64","No",-5,"No","Yes","No","Yes","No","No"
"University of Memphis",8,2023-03-17,"Late Evening","Round of 64","No",-1,"No","No","No","Yes","No","No"
"University of Southern California",10,2023-03-17,"Early Afternoon","Round of 64","No",3,"No","No","No","No","No","Yes"
"Arizona State University",11,2023-03-17,"Late Evening","Round of 64","No",5,"No","No","No","No","No","Yes"
"North Carolina State University",11,2023-03-17,"Mid Afternoon","Round of 64","No",5,"No","No","No","No","No","Yes"
"Providence College",11,2023-03-17,"Early Evening","Round of 64","No",5,"No","No","No","No","No","Yes"
"Drake University",12,2023-03-17,"Early Evening","Round of 64","No",7,"No","No","No","No","No","Yes"
"Virginia Commonwealth University",12,2023-03-17,"Early Afternoon","Round of 64","No",7,"No","No","No","No","No","Yes"
"Iona University",13,2023-03-17,"Late Afternoon","Round of 64","No",9,"No","No","No","No","No","Yes"
"Kent State University",13,2023-03-17,"Late Evening","Round of 64","No",9,"No","No","No","No","No","Yes"
"Grand Canyon University",14,2023-03-17,"Early Evening","Round of 64","No",11,"No","No","No","No","No","Yes"
"Kennesaw State University",14,2023-03-17,"Early Afternoon","Round of 64","No",11,"No","No","No","No","No","Yes"
"Montana State University",14,2023-03-17,"Late Evening","Round of 64","No",11,"No","No","No","No","No","Yes"
"UC Santa Barbara",14,2023-03-17,"Early Afternoon","Round of 64","No",11,"No","No","No","No","No","Yes"
"University of Vermont",15,2023-03-17,"Mid Afternoon","Round of 64","No",13,"No","No","No","No","No","Yes"
"University of Kansas",1,2023-03-18,"Late Afternoon","Round of 32","No",-7,"No","Yes","No","Yes","No","No"
"Duke University",5,2023-03-18,"Mid Afternoon","Round of 32","No",1,"No","No","No","No","No","Yes"
"Northwestern University",7,2023-03-18,"Early Evening","Round of 32","No",5,"No","No","No","No","No","Yes"
"University of Missouri",7,2023-03-18,"Late Afternoon","Round of 32","No",-8,"No","Yes","No","Yes","No","No"
"University of Maryland",8,2023-03-18,"Late Evening","Round of 32","No",7,"No","No","No","No","No","Yes"
"Auburn University",9,2023-03-18,"Early Evening","Round of 32","No",8,"No","No","No","No","No","Yes"
"Penn State University",10,2023-03-18,"Early Evening","Round of 32","No",8,"No","No","No","No","No","Yes"
"Furman University",13,2023-03-18,"Early Afternoon","Round of 32","No",8,"No","No","No","No","No","Yes"
"Marquette University",2,2023-03-19,"Late Afternoon","Round of 32","No",-5,"No","Yes","No","Yes","No","No"
"Baylor University",3,2023-03-19,"Early Evening","Round of 32","No",-3,"No","No","No","Yes","No","No"
"Indiana University Bloomington",4,2023-03-19,"Early Evening","Round of 32","No",-1,"No","No","No","Yes","No","No"
"Saint Mary's College",5,2023-03-19,"Late Afternoon","Round of 32","No",1,"No","No","No","No","No","Yes"
"Texas Christian University",6,2023-03-19,"Late Evening","Round of 32","No",3,"No","No","No","No","No","Yes"
"University of Kentucky",6,2023-03-19,"Mid Afternoon","Round of 32","No",3,"No","No","No","No","No","Yes"
"Pittsburgh University",11,2023-03-19,"Early Afternoon","Round of 32","No",8,"No","No","No","No","No","Yes"
"Fairleigh Dickinson University",16,2023-03-19,"Early Evening","Round of 32","No",7,"No","No","No","No","No","Yes"
"UCLA",2,2023-03-23,"Late Evening","Sweet 16","No",-1,"No","No","No","Yes","No","No"
"University of Tennessee Knoxville",4,2023-03-23,"Late Evening","Sweet 16","No",-5,"No","Yes","No","Yes","No","No"
"Michigan State University",7,2023-03-23,"Late Afternoon","Sweet 16","No",4,"No","No","No","No","No","Yes"
"University of Arkansas",8,2023-03-23,"Early Evening","Sweet 16","No",4,"No","No","No","No","No","Yes"
"University of Alabama",1,2023-03-24,"Late Afternoon","Sweet 16","No",-4,"No","No","No","Yes","No","No"
"University of Houston",1,2023-03-24,"Early Evening","Sweet 16","No",-4,"No","No","No","Yes","No","No"
"Xavier University",3,2023-03-24,"Late Evening","Sweet 16","No",1,"No","No","No","No","No","Yes"
"Princeton University",15,2023-03-24,"Late Evening","Sweet 16","No",9,"No","No","No","No","No","Yes"
"Gonzaga University",3,2023-03-25,"Early Evening","Elite 8","No",-1,"No","No","No","Yes","No","No"
"Kansas State University",3,2023-03-25,"Late Afternoon","Elite 8","No",-6,"No","Yes","No","Yes","No","No"
"University of Texas at Austin",2,2023-03-26,"Late Afternoon","Elite 8","No",-3,"No","No","No","Yes","No","No"
"Creighton University",6,2023-03-26,"Mid Afternoon","Elite 8","No",1,"No","No","No","No","No","Yes"
"University of Miami",5,2023-04-01,"Late Evening","Final 4","No",1,"No","No","No","No","No","Yes"
"Florida Atlantic University",9,2023-04-01,"Late Afternoon","Final 4","No",4,"No","No","No","No","No","Yes"
"San Diego State University",5,2023-04-03,"Late Evening","Championship","No",1,"No","No","No","No","No","Yes"
