"Date","School","Mention_Volume","Seed","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss","SizeSetting","Control","F20Enrollment","Major","EndDate","IsMarchMadness","IsGameDay"
2023-03-12,"Auburn University",391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",30737,1,2023-03-19,1,0
2023-03-12,"Marquette University",2573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",11550,1,2023-03-20,1,0
2023-03-12,"Saint Mary's College",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3439,0,2023-03-20,1,0
2023-03-12,"University of Houston",4812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",47090,0,2023-03-25,1,0
2023-03-12,"Florida Atlantic University",1670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",30805,0,2023-04-02,1,0
2023-03-12,"San Diego State University",1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",36334,0,2023-04-04,1,0
2023-03-12,"University of Memphis",7277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",22205,1,2023-03-18,1,0
2023-03-12,"University of Vermont",505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",13292,0,2023-03-18,1,0
2023-03-12,"Texas Southern University",739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",7015,0,2023-03-16,1,0
2023-03-12,"Howard University",2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",10859,0,2023-03-17,1,0
2023-03-12,"University of Arizona",6725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",45601,1,2023-03-17,1,0
2023-03-12,"UCLA",3161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",44589,1,2023-03-24,1,0
