"Date","School","Mention_Volume","Seed","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss","SizeSetting","Control","F20Enrollment","Major","EndDate","IsMarchMadness","IsGameDay"
2023-03-16,"Texas Christian University",441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",11379,1,2023-03-20,1,0
2023-03-16,"Mississippi State University",340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",22986,1,2023-03-15,0,0
2023-03-16,"Kansas State University",798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",20854,0,2023-03-26,1,0
2023-03-16,"Virginia Commonwealth University",659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",29070,0,2023-03-18,1,0
2023-03-16,"University of Connecticut",1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",27215,1,2023-04-04,1,0
2023-03-16,"Pittsburgh University",1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",32277,1,2023-03-20,1,0
2023-03-16,"Iowa State University",626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",31822,1,2023-03-18,1,0
2023-03-16,"University of Southern California",2101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",46287,1,2023-03-18,1,0
2023-03-16,"Creighton University",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",8770,1,2023-03-27,1,0
2023-03-16,"Auburn University",578,9,"Early Evening","Round of 64",1,1,0,0,1,0,0,0,"Four-year, large, primarily nonresidential","Public",30737,1,2023-03-19,1,1
2023-03-16,"Marquette University",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",11550,1,2023-03-20,1,0
2023-03-16,"Saint Mary's College",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3439,0,2023-03-20,1,0
2023-03-16,"University of Houston",4067,1,"Late Evening","Round of 64",1,15,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",47090,0,2023-03-25,1,1
2023-03-16,"Florida Atlantic University",697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",30805,0,2023-04-02,1,0
2023-03-16,"San Diego State University",2658,5,"Mid Afternoon","Round of 64",1,7,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",36334,0,2023-04-04,1,1
2023-03-16,"University of Memphis",936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",22205,1,2023-03-18,1,0
2023-03-16,"University of Vermont",532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",13292,0,2023-03-18,1,0
2023-03-16,"Texas Southern University",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",7015,0,2023-03-16,1,0
2023-03-16,"Howard University",6804,16,"Early Afternoon","Round of 64",0,15,0,0,0,0,0,1,"Four-year, large, highly residential","Private not-for-profit",10859,0,2023-03-17,1,1
2023-03-16,"University of Arizona",7271,2,"Mid Afternoon","Round of 64",0,13,0,1,0,1,0,0,"Four-year, large, primarily nonresidential","Public",45601,1,2023-03-17,1,1
2023-03-16,"UCLA",2967,2,"Late Evening","Round of 64",1,13,0,0,0,0,1,0,"Four-year, large, highly residential","Public",44589,1,2023-03-24,1,1
2023-03-16,"University of Tennessee Knoxville",4464,4,"Late Evening","Round of 64",1,9,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",30559,1,2023-03-24,1,1
2023-03-16,"University of Alabama",7082,1,"Mid Afternoon","Round of 64",1,15,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",22563,1,2023-03-25,1,1
2023-03-16,"University of Kentucky",2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",29986,1,2023-03-20,1,0
2023-03-16,"University of Arkansas",5816,8,"Late Afternoon","Round of 64",1,1,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",27562,1,2023-03-24,1,1
2023-03-16,"University of Missouri",6714,7,"Early Afternoon","Round of 64",1,3,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",31089,1,2023-03-19,1,1
2023-03-16,"Texas A&M",2806,7,"Late Evening","Round of 64",0,3,0,0,0,1,0,0,"Four-year, large, primarily nonresidential","Public",70418,1,2023-03-17,1,1
2023-03-16,"Penn State University",3654,10,"Late Evening","Round of 64",1,3,0,0,1,0,0,0,"Four-year, large, primarily residential","Public",89816,1,2023-03-19,1,1
2023-03-16,"Kent State University",646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26822,0,2023-03-18,1,0
2023-03-16,"Princeton University",9369,15,"Mid Afternoon","Round of 64",1,13,1,0,1,0,0,0,"Four-year, medium, highly residential","Private not-for-profit",7853,0,2023-03-25,1,1
2023-03-16,"UC Santa Barbara",1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26179,0,2023-03-18,1,0
2023-03-16,"Iona University",467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",3590,0,2023-03-18,1,0
2023-03-16,"Purdue University",2109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",46655,1,2023-03-18,1,0
2023-03-16,"University of North Carolina at Asheville",617,15,"Late Evening","Round of 64",0,13,0,0,0,0,0,1,"Four-year, small, highly residential","Public",3363,0,2023-03-17,1,1
2023-03-16,"Southeast Missouri State",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10001,0,2023-03-15,0,0
2023-03-16,"Kennesaw State University",680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",41181,0,2023-03-18,1,0
2023-03-16,"Drake University",382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4774,0,2023-03-18,1,0
2023-03-16,"University of Louisiana at Lafayette",1112,13,"Late Evening","Round of 64",0,9,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",16450,0,2023-03-17,1,1
2023-03-16,"Furman University",8617,13,"Early Afternoon","Round of 64",1,9,1,0,1,0,0,0,"Four-year, small, highly residential","Private not-for-profit",2567,0,2023-03-19,1,1
2023-03-16,"Northern Kentucky University",1835,16,"Late Evening","Round of 64",0,15,0,0,0,0,0,1,"Four-year, large, primarily nonresidential","Public",16211,0,2023-03-17,1,1
2023-03-16,"College of Charleston",2928,12,"Mid Afternoon","Round of 64",0,7,0,0,0,0,0,1,"Four-year, medium, primarily residential","Public",10384,0,2023-03-17,1,1
2023-03-16,"Oral Roberts University",1141,12,"Early Evening","Round of 64",0,7,0,0,0,0,0,1,"Four-year, medium, highly residential","Private not-for-profit",4317,0,2023-03-17,1,1
2023-03-16,"Fairleigh Dickinson University",590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",7479,0,2023-03-20,1,0
2023-03-16,"Texas A&M Corpus Christi",548,16,"Mid Afternoon","Round of 64",0,15,0,0,0,0,0,1,"Four-year, medium, primarily residential","Public",10820,0,2023-03-17,1,1
2023-03-16,"Gonzaga University",995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",7295,0,2023-03-26,1,0
2023-03-16,"Montana State University",283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",16218,0,2023-03-18,1,0
2023-03-16,"Colgate University",952,15,"Early Evening","Round of 64",0,13,0,0,0,0,0,1,"Four-year, medium, highly residential","Private not-for-profit",3054,0,2023-03-17,1,1
2023-03-17,"University of Nevada Reno",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",20722,0,2023-03-16,0,0
2023-03-17,"University of Virginia",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",25628,1,2023-03-17,1,0
2023-03-17,"Arizona State University",2350,11,"Late Evening","Round of 64",0,5,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",74795,1,2023-03-18,1,1
2023-03-17,"Duke University",3212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",16172,1,2023-03-19,1,0
2023-03-17,"Utah State University",323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",27691,0,2023-03-17,1,0
2023-03-17,"University of Kansas",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26744,1,2023-03-19,1,0
2023-03-17,"North Carolina State University",2014,11,"Mid Afternoon","Round of 64",0,5,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",36042,1,2023-03-18,1,1
2023-03-17,"University of Miami",4438,5,"Early Evening","Round of 64",1,7,0,0,0,0,1,0,"Four-year, large, primarily residential","Private not-for-profit",17809,1,2023-04-02,1,1
2023-03-17,"Providence College",1726,11,"Early Evening","Round of 64",0,5,0,0,0,0,0,1,"Four-year, medium, highly residential","Private not-for-profit",4821,1,2023-03-18,1,1
2023-03-17,"Xavier University",2107,3,"Early Afternoon","Round of 64",1,11,0,0,0,0,1,0,"Four-year, medium, primarily residential","Private not-for-profit",7061,0,2023-03-25,1,1
2023-03-17,"Indiana University Bloomington",2299,4,"Late Evening","Round of 64",1,9,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",43064,1,2023-03-20,1,1
2023-03-17,"University of Maryland",3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",40709,1,2023-03-19,1,0
2023-03-17,"University of Illinois Urbana-Champaign",875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",52679,1,2023-03-17,1,0
2023-03-17,"Michigan State University",6070,7,"Early Afternoon","Round of 64",1,3,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",49695,1,2023-03-24,1,1
2023-03-17,"Northwestern University",1443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",22603,1,2023-03-19,1,0
2023-03-17,"University of Iowa",1474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",30318,1,2023-03-17,1,0
2023-03-17,"Boise State University",405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",24069,0,2023-03-17,1,0
2023-03-17,"Baylor University",1838,3,"Early Afternoon","Round of 64",1,11,0,0,0,0,1,0,"Four-year, large, primarily residential","Private not-for-profit",19297,1,2023-03-20,1,1
2023-03-17,"Grand Canyon University",1397,14,"Early Evening","Round of 64",0,11,0,0,0,0,0,1,"Four-year, large, primarily nonresidential","Private not-for-profit",103427,0,2023-03-18,1,1
2023-03-17,"University of Texas at Austin",3284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",50476,1,2023-03-27,1,0
2023-03-17,"West Virginia University",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26269,1,2023-03-17,1,0
2023-03-17,"Texas Christian University",816,6,"Late Evening","Round of 64",1,5,0,0,0,0,1,0,"Four-year, large, highly residential","Private not-for-profit",11379,1,2023-03-20,1,1
2023-03-17,"Mississippi State University",390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",22986,1,2023-03-15,0,0
2023-03-17,"Kansas State University",2180,3,"Late Evening","Round of 64",1,11,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",20854,0,2023-03-26,1,1
2023-03-17,"Virginia Commonwealth University",2140,12,"Early Afternoon","Round of 64",0,7,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",29070,0,2023-03-18,1,1
2023-03-17,"University of Connecticut",3818,4,"Late Afternoon","Round of 64",1,9,0,0,0,0,1,0,"Four-year, large, highly residential","Public",27215,1,2023-04-04,1,1
2023-03-17,"Pittsburgh University",5593,11,"Mid Afternoon","Round of 64",1,5,1,0,1,0,0,0,"Four-year, large, primarily residential","Public",32277,1,2023-03-20,1,1
2023-03-17,"Iowa State University",1890,6,"Mid Afternoon","Round of 64",0,5,0,1,0,1,0,0,"Four-year, large, primarily residential","Public",31822,1,2023-03-18,1,1
2023-03-17,"University of Southern California",2998,10,"Early Afternoon","Round of 64",0,3,0,0,0,0,0,1,"Four-year, large, primarily residential","Private not-for-profit",46287,1,2023-03-18,1,1
2023-03-17,"Creighton University",1548,6,"Mid Afternoon","Round of 64",1,5,0,0,0,0,1,0,"Four-year, medium, highly residential","Private not-for-profit",8770,1,2023-03-27,1,1
2023-03-17,"Auburn University",341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",30737,1,2023-03-19,1,0
2023-03-17,"Marquette University",2120,2,"Mid Afternoon","Round of 64",1,13,0,0,0,0,1,0,"Four-year, large, highly residential","Private not-for-profit",11550,1,2023-03-20,1,1
2023-03-17,"Saint Mary's College",831,5,"Early Afternoon","Round of 64",1,7,0,0,0,0,1,0,"Four-year, medium, highly residential","Private not-for-profit",3439,0,2023-03-20,1,1
2023-03-17,"University of Houston",2268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",47090,0,2023-03-25,1,0
2023-03-17,"Florida Atlantic University",1785,9,"Late Evening","Round of 64",1,1,0,0,1,0,0,0,"Four-year, large, primarily nonresidential","Public",30805,0,2023-04-02,1,1
2023-03-17,"San Diego State University",1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",36334,0,2023-04-04,1,0
2023-03-17,"University of Memphis",2081,8,"Late Evening","Round of 64",0,1,0,0,0,1,0,0,"Four-year, large, primarily nonresidential","Public",22205,1,2023-03-18,1,1
2023-03-17,"University of Vermont",1006,15,"Mid Afternoon","Round of 64",0,13,0,0,0,0,0,1,"Four-year, large, highly residential","Public",13292,0,2023-03-18,1,1
2023-03-17,"Texas Southern University",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",7015,0,2023-03-16,0,0
2023-03-17,"Howard University",5512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",10859,0,2023-03-17,1,0
2023-03-17,"University of Arizona",2672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",45601,1,2023-03-17,1,0
2023-03-17,"UCLA",3317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",44589,1,2023-03-24,1,0
2023-03-17,"University of Tennessee Knoxville",2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",30559,1,2023-03-24,1,0
2023-03-17,"University of Alabama",2289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",22563,1,2023-03-25,1,0
2023-03-17,"University of Kentucky",8707,6,"Early Evening","Round of 64",1,5,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",29986,1,2023-03-20,1,1
2023-03-17,"University of Arkansas",1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",27562,1,2023-03-24,1,0
2023-03-17,"University of Missouri",1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",31089,1,2023-03-19,1,0
2023-03-17,"Texas A&M",2624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",70418,1,2023-03-17,1,0
2023-03-17,"Penn State University",5832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",89816,1,2023-03-19,1,0
2023-03-17,"Kent State University",874,13,"Late Evening","Round of 64",0,9,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",26822,0,2023-03-18,1,1
2023-03-17,"Princeton University",2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",7853,0,2023-03-25,1,0
2023-03-17,"UC Santa Barbara",1019,14,"Early Afternoon","Round of 64",0,11,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",26179,0,2023-03-18,1,1
2023-03-17,"Iona University",1203,13,"Late Afternoon","Round of 64",0,9,0,0,0,0,0,1,"Four-year, medium, primarily residential","Private not-for-profit",3590,0,2023-03-18,1,1
2023-03-17,"Purdue University",12075,1,"Early Evening","Round of 64",0,15,0,1,0,1,0,0,"Four-year, large, primarily residential","Public",46655,1,2023-03-18,1,1
2023-03-17,"University of North Carolina at Asheville",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, small, highly residential","Public",3363,0,2023-03-17,1,0
2023-03-17,"Southeast Missouri State",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10001,0,2023-03-15,0,0
2023-03-17,"Kennesaw State University",3260,14,"Early Afternoon","Round of 64",0,11,0,0,0,0,0,1,"Four-year, large, primarily nonresidential","Public",41181,0,2023-03-18,1,1
2023-03-17,"Drake University",1552,12,"Early Evening","Round of 64",0,7,0,0,0,0,0,1,"Four-year, medium, highly residential","Private not-for-profit",4774,0,2023-03-18,1,1
2023-03-17,"University of Louisiana at Lafayette",440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",16450,0,2023-03-17,1,0
2023-03-17,"Furman University",1308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, small, highly residential","Private not-for-profit",2567,0,2023-03-19,1,0
2023-03-17,"Northern Kentucky University",638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",16211,0,2023-03-17,1,0
2023-03-17,"College of Charleston",702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10384,0,2023-03-17,1,0
2023-03-17,"Oral Roberts University",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4317,0,2023-03-17,1,0
2023-03-17,"Fairleigh Dickinson University",18936,16,"Early Evening","Round of 64",1,15,1,0,1,0,0,0,"Four-year, medium, primarily residential","Private not-for-profit",7479,0,2023-03-20,1,1
2023-03-17,"Texas A&M Corpus Christi",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10820,0,2023-03-17,1,0
2023-03-17,"Gonzaga University",1427,3,"Early Evening","Round of 64",1,11,0,0,0,0,1,0,"Four-year, medium, highly residential","Private not-for-profit",7295,0,2023-03-26,1,1
2023-03-17,"Montana State University",674,14,"Late Evening","Round of 64",0,11,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",16218,0,2023-03-18,1,1
2023-03-17,"Colgate University",216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3054,0,2023-03-17,1,0
2023-03-18,"University of Nevada Reno",208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",20722,0,2023-03-16,0,0
2023-03-18,"University of Virginia",1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",25628,1,2023-03-17,0,0
2023-03-18,"Arizona State University",1639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",74795,1,2023-03-18,1,0
2023-03-18,"Duke University",8038,5,"Mid Afternoon","Round of 32",0,1,0,0,0,0,0,1,"Four-year, large, highly residential","Private not-for-profit",16172,1,2023-03-19,1,1
2023-03-18,"Utah State University",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",27691,0,2023-03-17,0,0
2023-03-18,"University of Kansas",6367,1,"Late Afternoon","Round of 32",0,7,0,1,0,1,0,0,"Four-year, large, primarily residential","Public",26744,1,2023-03-19,1,1
2023-03-18,"North Carolina State University",569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",36042,1,2023-03-18,1,0
2023-03-18,"University of Miami",2284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",17809,1,2023-04-02,1,0
2023-03-18,"Providence College",514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4821,1,2023-03-18,1,0
2023-03-18,"Xavier University",570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",7061,0,2023-03-25,1,0
2023-03-18,"Indiana University Bloomington",3748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",43064,1,2023-03-20,1,0
2023-03-18,"University of Maryland",3779,8,"Late Evening","Round of 32",0,7,0,0,0,0,0,1,"Four-year, large, primarily residential","Public",40709,1,2023-03-19,1,1
2023-03-18,"University of Illinois Urbana-Champaign",595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",52679,1,2023-03-17,0,0
2023-03-18,"Michigan State University",2136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",49695,1,2023-03-24,1,0
2023-03-18,"Northwestern University",2237,7,"Early Evening","Round of 32",0,5,0,0,0,0,0,1,"Four-year, large, primarily residential","Private not-for-profit",22603,1,2023-03-19,1,1
2023-03-18,"University of Iowa",1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",30318,1,2023-03-17,0,0
2023-03-18,"Boise State University",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",24069,0,2023-03-17,0,0
2023-03-18,"Baylor University",1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",19297,1,2023-03-20,1,0
2023-03-18,"Grand Canyon University",369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Private not-for-profit",103427,0,2023-03-18,1,0
2023-03-18,"University of Texas at Austin",12035,2,"Early Evening","Round of 32",1,8,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",50476,1,2023-03-27,1,1
2023-03-18,"West Virginia University",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26269,1,2023-03-17,0,0
2023-03-18,"Texas Christian University",2277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",11379,1,2023-03-20,1,0
2023-03-18,"Mississippi State University",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",22986,1,2023-03-15,0,0
2023-03-18,"Kansas State University",2680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",20854,0,2023-03-26,1,0
2023-03-18,"Virginia Commonwealth University",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",29070,0,2023-03-18,1,0
2023-03-18,"University of Connecticut",1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",27215,1,2023-04-04,1,0
2023-03-18,"Pittsburgh University",2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",32277,1,2023-03-20,1,0
2023-03-18,"Iowa State University",435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",31822,1,2023-03-18,1,0
2023-03-18,"University of Southern California",1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",46287,1,2023-03-18,1,0
2023-03-18,"Creighton University",612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",8770,1,2023-03-27,1,0
2023-03-18,"Auburn University",813,9,"Early Evening","Round of 32",0,8,0,0,0,0,0,1,"Four-year, large, primarily nonresidential","Public",30737,1,2023-03-19,1,1
2023-03-18,"Marquette University",958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",11550,1,2023-03-20,1,0
2023-03-18,"Saint Mary's College",346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3439,0,2023-03-20,1,0
2023-03-18,"University of Houston",7803,1,"Early Evening","Round of 32",1,8,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",47090,0,2023-03-25,1,1
2023-03-18,"Florida Atlantic University",4088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",30805,0,2023-04-02,1,0
2023-03-18,"San Diego State University",3307,5,"Early Afternoon","Round of 32",1,8,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",36334,0,2023-04-04,1,1
2023-03-18,"University of Memphis",2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",22205,1,2023-03-18,1,0
2023-03-18,"University of Vermont",393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Public",13292,0,2023-03-18,1,0
2023-03-18,"Texas Southern University",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",7015,0,2023-03-16,0,0
2023-03-18,"Howard University",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",10859,0,2023-03-17,0,0
2023-03-18,"University of Arizona",1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",45601,1,2023-03-17,0,0
2023-03-18,"UCLA",3942,2,"Early Evening","Round of 32",1,5,0,0,0,0,1,0,"Four-year, large, highly residential","Public",44589,1,2023-03-24,1,1
2023-03-18,"University of Tennessee Knoxville",17820,4,"Mid Afternoon","Round of 32",1,1,0,0,0,0,1,0,"Four-year, large, primarily residential","Public",30559,1,2023-03-24,1,1
2023-03-18,"University of Alabama",5555,1,"Late Evening","Round of 32",1,7,0,0,0,0,1,0,"Four-year, large, primarily nonresidential","Public",22563,1,2023-03-25,1,1
2023-03-18,"University of Kentucky",4929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",29986,1,2023-03-20,1,0
